,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
 Dambovita,-0.5357142857142856,-146.45238095238074,0.3309523809523811,-0.657142857142857,-413.3658536585365,-28.105452744999994,14.54719909047617,2.2469456276904722,-146.77744799523828,-142.70224580476193,-6654.5268626190555,7.838469961785719,-1575.2110943619045,-80.74189918211903,-288.8649570952375,77.09087374523813,-22.19770568642857,526.6540397490485,-376.97218952771414,-56.61329341304762
 Dolj,-1.7357142857142858,106.54761904761926,3.5309523809523813,0.7428571428571429,-479.3658536585365,-43.384995445,34.055500090476244,30.846268487690473,137.16538640476176,266.2281569952381,-3966.317572619053,-6.233047248214284,1188.276011638096,-106.44712800211903,-433.9376050952378,-155.02088835476184,-2.5551122864285674,714.1747337490483,-500.62913642771423,-7.40570291704762
 Galati,-0.5357142857142856,-57.452380952380736,2.4309523809523808,-0.2571428571428571,237.63414634146352,100.680672255,3.3928440904762738,19.721961587690473,-35.49023019523827,-50.50973420476191,-8080.6329326190535,-10.185124828214281,-693.0543983619045,-101.07160805211905,-301.7223620952377,-136.73500765476183,15.997830943571422,768.908516749048,-577.2109522277142,-30.56514062704762
 Giurgiu,-4.035714285714286,12.547619047619264,-1.5690476190476192,-0.2571428571428571,235.63414634146352,-63.941677915,57.7218090904762,-5.077484612309526,-323.8107345952383,-140.30185500476193,-8209.273992619055,-8.166673528214282,-2641.9558256619043,-122.33109564211904,133.7254979047625,513.8731054452383,-22.78855754642857,1834.2135157490488,-135.67517852771425,-26.28787107704762
 Gorj,-0.5357142857142856,-2.452380952380736,0.5309523809523813,-0.9571428571428571,-88.36585365853648,-61.622507915,37.291736090476206,-3.762951102309529,108.51299710476178,-5.114836104761935,6306.393517380944,-19.745837998214284,-2701.3844505619045,-74.63404278211904,-112.53299809523787,45.869698945238156,-16.97290879642857,-803.5886492509517,-104.28706652771416,-58.29536330004762
 Harghita,1.8642857142857143,-310.45238095238074,0.3309523809523811,0.1428571428571428,-450.3658536585365,-91.861277465,18.545896090476162,-0.42735144230952926,6.230299504761774,-66.24502430476193,-5631.1325626190555,-17.73306207821428,-1930.6312361619043,35.91287613788097,-257.86755409523767,-101.27118815476183,3.9891247835714267,-1734.4471792509516,54.47661747228585,-58.07965674704762
 Hunedoara,-2.435714285714286,-233.45238095238074,-0.46904761904761916,-0.657142857142857,487.6341463414635,22.87552075500001,-12.827696909523866,-18.409440602309527,216.62511150476178,47.46656149523807,-1802.971992619052,-20.769300720214282,-755.4619673619045,-39.50873686211904,50.04858390476238,11.114175845238151,31.945137483571436,-1834.0204362509517,-167.53620352771418,-56.772495636047616
 Ialomita,-1.7357142857142858,-225.45238095238074,1.7309523809523806,0.04285714285714293,228.63414634146352,-49.051319695000004,89.2104610904762,6.196752017690471,-292.00127749523824,-129.45596860476192,-7219.193942619055,-14.024826818214283,-2259.2863310619045,-67.79642120211903,-661.6224640952378,-118.25553115476185,-14.185366666428571,4394.928231749049,383.7890004722858,99.83264393295238
 Iasi,4.164285714285715,465.54761904761926,-0.8690476190476191,-0.3571428571428572,543.6341463414635,116.20334995500001,-110.79417690952391,-6.592021452309524,321.1942414047618,263.1236467952381,-1340.8419626190516,11.642457691785715,-1684.0056383619044,-66.94074378211904,-562.8458040952378,-139.69186415476184,-8.036572966428572,-1542.9541392509518,-692.5052757277142,-20.463298827047616
 Ilfov,5.064285714285714,503.54761904761926,-3.269047619047619,-0.15714285714285703,0.0,-61.001283924999996,-270.8901517095238,-30.271464090309525,-321.81950029523824,-82.26251080476192,12523.869587380948,99.81593151178572,2873.2766706380953,-83.49126715211904,313.8605769047622,-324.01992475476186,-0.8359299164285687,-2597.0779952509515,-1205.8731116277143,48.246720032952375
